,Grassland
Amazona farinosa,14.25
Ammodramus aurifrons,0.0
Ara macao,3.125
Ara severus,37.75
Aramides cajaneus,3.375
Cercomacroides tyrannina,0.375
Crypturellus cinereus,42.125
Crypturellus soui,7.375
Cyanocorax violaceus,29.625
Glaucidium brasilianum,3.25
Herpetotheres cachinnans,36.25
Hydropsalis maculicaudus,45.25
Hypocnemis flavescens,0.0
Legatus leucophaius,0.75
Lepidothrix coronata,0.25
Lipaugus vociferans,0.125
Megascops choliba,15.75
Megascops watsonii,11.125
Mionectes oleagineus,0.0
Mustelirallus albicollis,6.375
Myiarchus ferox,11.5
Myiozetetes cayanensis,1.0
Myrmoborus myotherinus,0.0
Myrmophylax atrothorax,0.0
Nyctibius griseus,7.875
Nyctidromus albicollis,443.0
Ortalis guttata,8.375
Pachyramphus polychopterus,8.375
Patagioenas subvinacea,0.625
Percnostola rufifrons,0.0
Phaethornis atrimentalis,0.0
Phaethornis ruber,0.0
Pionus menstruus,10.5
Pitangus sulphuratus,8.125
Pteroglossus castanotis,0.875
Querula purpurata,0.125
Ramphastos tucanus,62.25
Ramphastos vitellinus,8.5
Ramphocelus carbo,3.75
Ramphotrigon ruficauda,0.0
Saltator maximus,1.625
Synallaxis albescens,57.625
Thamnophilus murinus,0.0
Tinamus major,0.125
Trogon rufus,0.0
Trogon viridis,0.75
Tyrannus melancholicus,9.25
Volatinia jacarina,13.25
